MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57997.39882,20.147,1.016,32,32,o,0,1.02,318.17044,-42.50001,5257.48,837.43,2.61,2.38,54.6,-0.442,18.62,19.51,02a57997o0264o
58007.371563,-20.931,1.867,-15,29,o,0,0.97,318.17044,-42.50001,7314.45,9855.59,4.22,3.56,-89.1,-0.395,18.55,19.89,01a58007o0320o
58007.379952,-19.777,0.704,-45,31,o,0,0.89,318.17044,-42.50001,7332.29,9929.16,4.05,3.35,-82.6,-0.408,18.56,19.78,01a58007o0338o
58007.387791,22.199,5.389,5,26,o,0,1.08,318.17044,-42.50001,7290.59,9883.1,3.68,3.03,-83.0,-0.431,18.6,19.73,01a58007o0355o
58007.39605,20.602,1.54,21,32,o,0,1.24,318.17044,-42.50001,7265.42,10033.97,3.94,3.16,-83.3,-0.413,18.32,19.44,01a58007o0373o
58011.362158,21.956,3.036,6,18,o,0,0.71,318.17044,-42.50001,7278.93,9623.52,3.37,2.72,-79.1,-0.449,19.19,20.64,01a58011o0299o
58011.369983,21.203,1.404,12,17,o,0,1.11,318.17044,-42.50001,7306.78,9662.63,3.55,2.81,-76.3,-0.435,19.15,20.61,01a58011o0316o
58011.377817,20.0,0.412,36,15,o,0,1.38,318.17044,-42.50001,7246.87,9584.16,3.49,2.77,-77.3,-0.441,19.17,20.58,01a58011o0333o
58011.385646,-21.351,1.891,-10,20,o,0,1.05,318.17044,-42.50001,7219.62,9700.99,3.49,2.76,-77.9,-0.445,19.14,20.55,01a58011o0350o
58011.402243,-22.244,4.1,-5,19,o,0,0.86,318.17044,-42.50001,542.26,4301.88,2.12,1.92,64.3,-0.494,18.98,20.4,02a58011o0352o
58011.412539,20.425,0.824,24,20,o,0,0.6,318.17044,-42.50001,529.85,4260.09,2.32,2.03,69.8,-0.476,18.94,20.29,02a58011o0374o
58011.423258,20.88,2.0,16,32,o,0,0.74,318.17044,-42.50001,10280.94,4321.56,2.65,2.24,81.9,-0.507,18.4,19.83,02a58011o0397o
58011.433445,19.942,0.571,38,22,o,0,1.53,318.17044,-42.50001,10252.64,4283.59,2.75,2.26,86.0,-0.491,18.86,20.24,02a58011o0419o
58017.360774,21.931,2.185,6,13,c,0,1.03,318.17044,-42.50001,3941.28,706.56,3.41,2.87,52.4,-0.414,19.44,21.2,02a58017o0178c
58017.367676,21.22,1.228,12,14,c,0,0.87,318.17044,-42.50001,8353.67,10380.21,2.96,2.7,-11.3,-0.46,19.37,21.06,02a58017o0193c
58017.368589,20.789,0.704,18,12,c,0,1.1,318.17044,-42.50001,3929.12,666.25,3.25,2.73,50.4,-0.433,19.47,21.14,02a58017o0195c
58017.375954,20.5,0.536,23,12,c,0,1.34,318.17044,-42.50001,8342.51,10339.75,2.8,2.51,-10.4,-0.457,19.4,21.04,02a58017o0211c
58017.376867,-21.883,1.839,-6,12,c,0,1.18,318.17044,-42.50001,3990.91,744.27,3.07,2.66,44.6,-0.451,19.47,21.11,02a58017o0213c
58017.384245,23.698,13.2,1,16,c,0,1.04,318.17044,-42.50001,8403.92,10415.86,3.2,2.92,-13.9,-0.427,19.33,21.02,02a58017o0229c
58017.385158,0.0,21.099,0,13,c,0,1.13,318.17044,-42.50001,4007.56,625.49,3.44,3.01,53.9,-0.387,19.38,21.11,02a58017o0231c
58017.392495,22.601,4.118,3,14,c,0,1.16,318.17044,-42.50001,8420.65,10296.07,2.89,2.58,-13.1,-0.454,19.36,21.03,02a58017o0247c
58021.365162,-22.158,2.3,-5,11,c,0,0.98,318.17044,-42.50001,6544.81,1957.12,2.76,2.52,69.7,-0.431,19.54,21.17,02a58021o0323c
58021.373535,-21.751,1.535,-7,11,c,0,1.15,318.17044,-42.50001,6518.92,1918.09,2.76,2.54,73.9,-0.431,19.54,21.17,02a58021o0341c
58021.382273,-21.309,1.031,-11,11,c,0,0.99,318.17044,-42.50001,6578.28,1994.48,2.75,2.54,76.4,-0.437,19.56,21.15,02a58021o0360c
58021.391049,22.317,2.96,4,13,c,0,0.95,318.17044,-42.50001,6596.01,1876.0,2.74,2.54,77.8,-0.437,19.5,21.1,02a58021o0379c
58023.316038,-21.322,2.298,-11,25,o,0,0.85,318.17044,-42.50001,7113.27,8244.6,3.52,2.81,-84.8,-0.432,18.83,19.94,01a58023o0140o
58023.32387,23.965,20.25,1,19,o,0,1.64,318.17044,-42.50001,7147.2,8315.43,3.64,2.83,-82.0,-0.425,18.82,19.93,01a58023o0157o
58023.331692,-22.569,6.286,-3,21,o,0,1.43,318.17044,-42.50001,7093.52,8249.96,3.71,2.85,-82.1,-0.423,18.77,19.92,01a58023o0174o
58023.346396,20.917,1.246,16,19,o,0,1.42,318.17044,-42.50001,7070.88,8426.23,3.68,2.83,-84.0,-0.428,18.8,19.93,01a58023o0206o
58029.33551,-18.847,0.36,-105,38,o,0,0.98,318.17044,-42.50001,5592.39,595.21,2.53,2.19,40.5,-0.521,18.35,18.63,02a58029o0297o
58029.343327,21.108,2.825,13,37,o,0,1.67,318.17044,-42.50001,5580.98,554.47,3.13,2.75,41.4,-0.427,18.18,18.61,02a58029o0314o
58033.344929,22.401,6.892,4,27,o,0,1.04,318.17044,-42.50001,4767.44,1819.32,2.18,2.04,82.3,-0.442,18.41,18.71,02a58033o0224o
58033.353263,20.12,0.858,32,28,o,0,1.26,318.17044,-42.50001,4797.02,1702.25,2.2,2.02,82.5,-0.445,18.39,18.67,02a58033o0242o
58039.311396,-20.939,1.639,-15,25,o,0,1.17,318.17044,-42.50001,5513.12,8585.3,3.48,3.1,-81.3,-0.415,18.71,19.86,01a58039o0177o
58039.319207,19.726,0.503,47,24,o,0,1.16,318.17044,-42.50001,5528.57,8655.6,3.69,3.3,-82.2,-0.418,18.71,19.99,01a58039o0194o
58039.327039,-23.529,18.167,-1,26,o,0,0.92,318.17044,-42.50001,5470.22,8609.41,3.35,2.87,-83.3,-0.445,18.76,19.9,01a58039o0211o
58039.334859,21.744,2.774,7,20,o,0,1.14,318.17044,-42.50001,5454.73,8756.58,3.36,2.83,-85.2,-0.446,18.85,20.02,01a58039o0228o
58043.306329,19.351,2.065,66,136,o,0,1.12,318.17044,-42.50001,3808.9,10259.31,4.35,4.01,-16.5,-0.377,16.81,18.36,01a58043o0248o
58043.314134,19.498,1.385,58,80,o,0,1.22,318.17044,-42.50001,3822.52,10330.11,3.83,3.33,-74.8,-0.41,17.57,18.92,01a58043o0265o
58043.321982,19.283,0.908,70,64,o,0,1.34,318.17044,-42.50001,3763.55,10283.81,3.81,3.31,-76.5,-0.395,17.38,18.76,01a58043o0282o
58043.329804,20.135,1.382,32,44,o,0,0.95,318.17044,-42.50001,3747.89,10432.94,4.02,3.58,-69.9,-0.388,18.14,19.5,01a58043o0299o
58049.295147,-18.853,0.904,-104,94,c,0,1.27,318.17044,-42.50001,3853.64,1248.14,2.91,2.5,50.9,-0.426,17.47,19.1,02a58049o0039c
58049.302977,-18.764,0.947,-113,107,c,0,1.13,318.17044,-42.50001,3841.25,1207.82,3.0,2.6,54.8,-0.402,16.96,18.62,02a58049o0056c
58049.310797,-17.988,1.412,-232,327,c,0,1.26,318.17044,-42.50001,3900.23,1285.71,3.03,2.56,54.3,-0.404,16.63,18.31,02a58049o0073c
58049.318593,-19.179,0.317,-77,24,c,0,27.03,318.17044,-42.50001,3916.22,1167.68,3.11,2.64,51.6,-0.427,18.95,20.55,02a58049o0090c
58053.257686,20.024,0.494,36,18,o,0,1.21,318.17044,-42.50001,4338.23,1784.86,2.18,1.96,54.5,-0.458,18.99,19.54,02a58053o0159o
58053.264588,-23.174,8.765,-2,17,o,0,1.44,318.17044,-42.50001,4325.98,1744.62,2.25,2.04,59.5,-0.451,18.98,19.57,02a58053o0174o
58053.271467,-20.771,1.184,-18,21,o,0,0.87,318.17044,-42.50001,4384.81,1821.97,2.26,2.08,57.6,-0.45,18.95,19.56,02a58053o0189o
58053.278324,-21.799,2.707,-7,19,o,0,1.7,318.17044,-42.50001,4400.2,1704.5,2.28,2.11,59.4,-0.44,18.95,19.56,02a58053o0204o
58057.274118,14.168,1.077,7811,8412,o,0,1.11,318.17044,-42.50001,3540.65,2259.51,48.43,19.25,0.0,-0.136,15.19,15.18,02a58057o0069o
58057.281455,14.854,0.649,4154,2696,o,0,1.06,318.17044,-42.50001,3528.03,2220.13,34.72,1.75,0.4,-0.136,14.62,14.66,02a58057o0085o
58057.297044,-16.054,0.404,-1376,556,o,0,0.85,318.17044,-42.50001,3601.67,2200.0,2.75,2.22,52.5,-0.376,15.28,15.44,02a58057o0119o
58063.263566,-19.908,0.887,-40,35,o,0,1.23,318.17044,-42.50001,3826.08,9789.73,3.71,3.24,-76.6,-0.43,18.29,19.15,01a58063o0184o
58063.270975,-20.901,2.268,-16,36,o,0,1.19,318.17044,-42.50001,3839.06,9858.42,3.67,3.28,-73.3,-0.427,18.27,19.07,01a58063o0200o
58063.27879,20.045,1.136,35,40,o,0,1.39,318.17044,-42.50001,3779.38,9811.58,3.77,3.32,-73.7,-0.425,18.22,19.01,01a58063o0217o
58063.286601,18.76,0.404,114,46,o,0,1.08,318.17044,-42.50001,3763.0,9959.55,3.87,3.37,-75.0,-0.42,18.16,18.93,01a58063o0234o
58065.270348,15.313,0.482,2720,1311,o,0,1.27,318.17044,-42.50001,5041.81,1610.57,2.53,2.19,59.5,-0.457,13.95,15.28,02a58065o0198o
58065.277678,-16.858,0.797,-656,522,o,0,1.22,318.17044,-42.50001,5100.59,1687.26,2.53,2.17,63.8,-0.437,14.63,15.97,02a58065o0214o
58067.258207,-20.863,1.301,-16,21,o,0,1.15,318.17044,-42.50001,7124.89,9117.66,3.47,2.73,-77.8,-0.439,18.85,19.9,01a58067o0161o
58067.265558,22.249,5.737,5,26,o,0,0.8,318.17044,-42.50001,7137.09,9185.77,3.56,2.85,-79.1,-0.429,18.76,19.86,01a58067o0177o
58067.272906,20.516,1.122,23,25,o,0,1.03,318.17044,-42.50001,7074.77,9115.81,3.67,2.87,-78.9,-0.424,18.77,19.83,01a58067o0193o
58067.280723,-20.538,1.179,-22,26,o,0,1.02,318.17044,-42.50001,7057.97,9261.57,3.72,2.96,-80.9,-0.419,18.72,19.79,01a58067o0210o
58245.594373,18.51,0.349,143,50,o,0,2.22,318.17044,-42.50001,3705.92,10026.47,2.33,2.11,34.4,-0.469,18.02,18.39,02a58245o0792o
58245.601701,-18.673,0.379,-123,47,o,0,1.31,318.17044,-42.50001,3718.41,10066.79,2.35,2.1,32.7,-0.473,18.16,18.5,02a58245o0808o
58245.603527,-19.28,0.653,-70,46,o,0,1.29,318.17044,-42.50001,9223.6,418.7,2.56,2.11,48.1,-0.442,18.09,18.45,02a58245o0812o
58245.605808,-20.213,1.392,-30,42,o,0,1.19,318.17044,-42.50001,9136.65,455.55,2.48,2.21,53.5,-0.427,18.25,18.66,02a58245o0817o
58245.606264,22.719,10.4,3,31,o,0,1.83,318.17044,-42.50001,9166.71,338.39,2.43,2.15,53.8,-0.427,18.29,18.67,02a58245o0818o
58245.607632,19.226,0.588,74,44,o,0,1.05,318.17044,-42.50001,3661.49,9990.3,2.54,2.2,33.7,-0.481,18.26,18.67,02a58245o0821o
58245.623641,19.002,0.78,91,71,o,0,1.49,318.17044,-42.50001,3643.09,10109.88,2.42,2.21,31.4,-0.459,17.86,18.11,02a58245o0856o
58250.60474,20.752,0.694,18,13,c,0,1.41,318.17044,-42.50001,6825.72,9715.19,3.17,2.85,42.3,-0.399,19.39,21.14,02a58250o0787c
58250.610228,-21.538,1.59,-9,14,c,0,1.17,318.17044,-42.50001,6839.89,9755.17,3.29,2.89,48.2,-0.412,19.31,21.0,02a58250o0799c
58250.625852,18.95,1.165,96,111,c,0,2.27,318.17044,-42.50001,6780.36,9678.61,2.95,2.75,48.9,-0.446,17.44,18.16,02a58250o0833c
58250.627221,-18.427,1.181,-155,183,c,0,1.55,318.17044,-42.50001,6766.42,9796.6,2.79,2.66,60.8,-0.491,17.11,17.79,02a58250o0836c
