MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3043117041991,18.950,0.428,318.17058,-42.49995,54291.66086,0
3043117041991,19.329,0.518,318.17041,-42.49991,54291.66995,0
3043117041991,19.380,0.532,318.17059,-42.49982,54291.67871,0
3043117041991,19.412,0.539,318.17059,-42.49988,54291.68748,0
3043117041991,19.829,0.677,318.17061,-42.49989,54303.60142,0
3043117041991,19.574,0.581,318.17052,-42.50000,54303.62314,0
3043117041991,20.267,0.765,318.17087,-42.50003,54240.73945,0
3043117041991,20.329,0.790,318.17042,-42.49970,54240.75266,0
3043117041991,19.771,0.731,318.17096,-42.49966,54414.44941,0
3043117041991,18.988,0.485,318.17022,-42.50003,54414.45759,0
3043117041991,19.844,0.692,318.17087,-42.49972,54382.49195,0
3043117041991,19.203,0.475,318.17060,-42.49969,54382.50105,0
3043117041991,19.114,0.454,318.17048,-42.49974,54382.51017,0
3043117041991,19.392,0.411,318.17055,-42.49993,54348.58011,0
3043117041991,20.115,0.630,318.17061,-42.50000,54348.59430,0
3043117041991,19.533,0.448,318.17053,-42.49978,54348.60848,0
3043117041991,20.021,0.599,318.17078,-42.49982,54348.62265,0
3043117041991,19.388,0.412,318.17090,-42.49978,54360.45858,0
3043117041991,19.515,0.385,318.17084,-42.50003,54686.63604,0
3043117041991,20.094,0.541,318.17042,-42.49976,54686.64921,0
3043117041991,19.771,0.450,318.17052,-42.49982,54686.66233,0
3043117041991,19.435,0.373,318.17078,-42.49987,54686.67544,0
3043117041991,20.203,0.561,318.17061,-42.49977,54704.55780,0
3043117041991,19.755,0.433,318.17055,-42.49987,54704.56939,0
3043117041991,19.925,0.477,318.17046,-42.49970,54704.58087,0
3043117041991,19.656,0.410,318.17054,-42.49984,54704.59246,0
3043117041991,19.412,0.357,318.17027,-42.49967,54661.59101,0
3043117041991,19.080,0.388,318.17034,-42.49984,54627.70424,0
3043117041991,19.609,0.392,318.17039,-42.50003,54627.71743,0
3043117041991,19.712,0.415,318.17054,-42.49977,54627.72401,0
3043117041991,19.580,0.386,318.17051,-42.49967,54627.73063,0
3043117041991,20.410,0.619,318.17069,-42.49967,54643.75485,0
3043117041991,19.656,0.400,318.17078,-42.49961,54643.76623,0
3043117041991,18.940,0.276,318.17042,-42.49976,54590.76675,0
3043117041991,19.150,0.308,318.17039,-42.49998,54590.77999,0
3043117041991,19.364,0.346,318.17050,-42.49989,54590.79328,0
3043117041991,19.590,0.392,318.17061,-42.49989,54590.80668,0
3043117041991,19.845,0.615,318.17048,-42.49965,54793.43348,0
3043117041991,19.344,0.478,318.17061,-42.49977,54793.43987,0
3043117041991,19.751,0.455,318.17053,-42.49989,54745.47320,0
3043117041991,19.714,0.449,318.17007,-42.49963,54745.47979,0
3043117041991,19.917,0.534,318.17024,-42.49998,54764.45496,0
3043117041991,19.997,0.560,318.17048,-42.49993,54764.46152,0
3043117041991,19.984,0.557,318.17070,-42.49921,54764.46808,0
3043117041991,19.640,0.457,318.17072,-42.49954,54764.47467,0
3043117041991,20.521,0.673,318.17060,-42.49968,54732.48505,0
3043117041991,19.615,0.349,318.17001,-42.49964,54940.78877,0
3043117041991,20.527,0.587,318.17054,-42.49965,54940.79536,0
3043117041991,16.257,0.083,318.17047,-42.49998,55058.52405,0
3043117041991,16.490,0.089,318.17044,-42.50000,55058.53334,0
3043117041991,16.103,0.080,318.17048,-42.50000,55058.54254,0
3043117041991,16.250,0.083,318.17048,-42.49996,55058.55178,0
3043117041991,19.383,0.554,318.17020,-42.50018,55030.51954,0
3043117041991,19.552,0.353,318.17032,-42.49981,55005.66162,0
3043117041991,19.245,0.299,318.17006,-42.49993,55005.67564,0
3043117041991,20.005,0.456,318.17053,-42.49965,55005.68934,0
3043117041991,19.658,0.375,318.17077,-42.50007,55005.70355,0
3043117041991,19.751,0.591,318.17027,-42.49967,54955.71548,0
3043117041991,19.675,0.562,318.17042,-42.49940,54955.72412,0
3043117041991,17.200,0.123,318.17051,-42.49991,55118.46740,0
3043117041991,17.141,0.120,318.17057,-42.49999,55118.47586,0
3043117041991,17.057,0.117,318.17059,-42.49993,55118.48433,0
3043117041991,17.367,0.131,318.17053,-42.49990,55118.49287,0
3043117041991,16.189,0.090,318.17049,-42.49995,55086.54938,0
3043117041991,16.293,0.093,318.17059,-42.49989,55086.55995,0
3043117041991,16.705,0.106,318.17055,-42.49988,55086.57053,0
3043117041991,16.371,0.095,318.17054,-42.49992,55086.58112,0
3043117041991,20.164,0.516,318.17015,-42.50001,55386.74515,0
3043117041991,19.395,0.324,318.17041,-42.49976,55365.75732,0
3043117041991,14.253,0.063,318.17042,-42.49998,55337.63745,0
3043117041991,19.939,0.454,318.17048,-42.49976,55445.54963,0
3043117041991,19.899,0.445,318.17050,-42.49964,55445.57562,0
3043117041991,19.303,0.307,318.17074,-42.49949,55717.69456,0
3043117041991,20.518,0.615,318.17043,-42.49971,55717.71707,0
3043117041991,19.678,0.380,318.17016,-42.49968,55717.72842,0
3043117041991,20.225,0.541,318.17062,-42.50004,55767.58711,0
3043117041991,20.914,0.815,318.17049,-42.49965,55767.59841,0
3043117041991,19.861,0.437,318.17037,-42.49958,55767.60970,0
3043117041991,19.604,0.383,318.17045,-42.49962,55767.62099,0
3043117041991,20.394,0.624,318.17092,-42.49970,55797.50880,0
3043117041991,19.326,0.331,318.17010,-42.50045,55823.49320,0
3043117041991,20.278,0.555,318.17046,-42.49956,55823.50452,0
3043117041991,19.225,0.515,318.17055,-42.49987,56036.71388,0
3043117041991,20.077,0.607,318.17064,-42.49990,56036.73537,0
3043117041991,20.264,0.449,318.17061,-42.49992,56156.50365,0
3043117041991,19.892,0.364,318.17056,-42.49988,56156.51641,0
3043117041991,20.545,0.527,318.17051,-42.49972,56156.52925,0
3043117041991,19.647,0.317,318.17048,-42.49964,56156.54219,0
3043117041991,19.512,0.333,318.17095,-42.49966,56219.46984,0
3043117041991,20.300,0.629,318.17048,-42.49951,56266.46341,0
3043117041991,19.693,0.397,318.17006,-42.49992,56404.73420,0
3043117041991,14.485,0.065,318.17046,-42.50002,55337.64814,0
3043117041991,14.251,0.063,318.17039,-42.50001,55337.65888,0
3043117041991,20.427,0.600,318.17017,-42.49989,55386.71602,0
3043117041991,19.433,0.342,318.17060,-42.49972,55445.55829,0
3043117041991,19.088,0.284,318.17051,-42.49982,55445.56694,0
3043117041991,19.028,0.218,318.17058,-42.50011,55497.42707,0
