MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58412.50741,14.85,7.847,4168,32705,o,0,0.0,64.16321,40.04256,9169.17,5775.68,2.26,2.19,35.7,-0.459,19.22,20.03,02a58412o0686o
58412.513632,0.0,0.0,0,0,o,0,-2.0,64.16321,40.04256,9085.42,5688.77,2.15,2.06,81.9,-0.481,19.3,20.05,02a58412o0698o
58412.514743,0.0,0.0,0,0,o,0,-2.0,64.16321,40.04256,1389.27,4714.79,1.98,1.86,37.3,-0.489,19.35,20.06,02a58412o0700o
58412.527905,0.0,0.0,0,0,o,0,-2.0,64.16321,40.04256,9069.45,5806.75,2.1,2.04,-74.9,-0.49,19.26,20.08,02a58412o0726o
58414.490424,-14.474,4.329,-5891,25502,o,0,0.0,64.16321,40.04256,1236.6,5664.24,2.91,2.75,-82.5,-0.496,18.68,19.7,01a58414o0648o
58414.50326,-15.982,6.136,-1470,9017,o,0,0.74,64.16321,40.04256,1202.42,5627.82,2.74,2.67,-75.4,-0.506,18.72,19.7,01a58414o0672o
58414.511488,-15.895,5.18,-1592,8248,o,0,1.73,64.16321,40.04256,1291.62,5582.53,2.73,2.61,-68.5,-0.518,18.69,19.7,01a58414o0689o
58414.512909,14.262,1.172,7163,8393,o,0,0.56,64.16321,40.04256,1262.36,5700.75,3.05,2.77,-8.0,-0.472,18.65,19.71,01a58414o0692o
58416.459947,-12.839,1.061,-26578,28186,o,0,0.93,64.16321,40.04256,8209.18,4750.44,2.32,2.05,-67.5,-0.44,18.52,18.75,02a58416o0586o
58416.471555,0.0,0.0,0,0,o,0,-2.0,64.16321,40.04256,8179.88,4745.49,2.3,2.08,-63.6,-0.447,18.55,18.78,02a58416o0611o
58416.472491,-11.611,0.413,-82328,34015,o,0,0.0,64.16321,40.04256,8181.59,4714.62,2.43,2.14,-61.8,-0.432,18.51,18.78,02a58416o0613o
58416.477064,-12.589,0.559,-33438,18704,o,0,1.11,64.16321,40.04256,8149.89,4832.21,2.57,2.19,-58.8,-0.399,18.53,18.78,02a58416o0623o
58420.540628,-10.709,5.064,-189004,957195,o,0,0.06,64.16321,40.04256,1684.22,5587.63,2.37,2.04,-37.9,-0.437,17.58,17.7,02a58420o0214o
58424.533141,-16.903,1.645,-629,1034,c,0,1.79,64.16321,40.04256,8296.93,5480.3,2.6,2.58,58.8,-0.412,19.55,21.12,02a58424o0713c
58424.540065,-15.782,0.386,-1767,682,c,0,1.46,64.16321,40.04256,8279.41,5440.11,2.54,2.48,63.9,-0.42,19.56,21.09,02a58424o0728c
58424.553729,-16.138,0.462,-1273,589,c,0,1.65,64.16321,40.04256,8335.32,5522.71,2.52,2.49,32.5,-0.418,19.56,21.05,02a58424o0757c
58424.556494,-18.162,1.037,-197,205,c,0,2.37,64.16321,40.04256,8348.71,5403.81,2.76,2.53,-40.9,-0.386,19.51,21.04,02a58424o0763c
58426.480701,13.701,0.505,12014,6064,o,0,1.1,64.16321,40.04256,9213.95,3754.32,3.84,2.89,-86.0,-0.439,19.17,20.74,01a58426o0377o
58426.488904,14.106,0.418,8274,3459,o,0,1.15,64.16321,40.04256,9229.5,3791.81,3.73,2.75,-88.2,-0.451,19.26,20.79,01a58426o0393o
58426.503056,14.801,0.716,4363,3124,o,0,1.62,64.16321,40.04256,9170.99,3715.44,3.77,2.86,-86.8,-0.439,19.19,20.81,01a58426o0422o
58428.478141,19.095,1340.312,84,111971,c,0,0.0,64.16321,40.04256,1387.98,3595.1,2.38,2.28,35.5,-0.437,19.67,21.49,02a58428o0519c
58428.488848,0.0,0.0,0,0,c,0,-2.0,64.16321,40.04256,1310.25,3512.59,2.35,2.25,41.9,-0.445,19.72,21.53,02a58428o0542c
58428.493888,12.535,0.728,35162,25609,c,0,0.0,64.16321,40.04256,1413.51,3632.65,2.46,2.28,42.0,-0.444,19.69,21.54,02a58428o0553c
58428.508025,-14.013,1.649,-9015,14862,c,0,0.0,64.16321,40.04256,1441.85,3518.64,2.37,2.28,30.9,-0.437,19.75,21.57,02a58428o0583c
58430.463462,13.88,0.678,10186,6903,o,0,0.82,64.16321,40.04256,9042.73,6177.7,4.28,2.98,-84.7,-0.42,19.24,20.96,01a58430o0554o
58430.474226,18.478,11.576,147,1707,o,0,0.96,64.16321,40.04256,10397.14,4075.24,4.34,2.91,-85.8,-0.465,19.21,20.84,01a58430o0576o
58430.475147,13.912,0.001,9888,10,o,0,12082.21,64.16321,40.04256,949.55,3985.37,3.09,2.73,-83.0,-0.482,19.2,20.84,01a58430o0578o
58430.481156,14.069,1.275,8560,10911,o,0,1.56,64.16321,40.04256,8993.85,6209.59,4.24,2.93,-84.9,-0.433,19.18,20.86,01a58430o0589o
58430.495804,-15.68,0.887,-1940,1721,o,0,1.37,64.16321,40.04256,10457.2,4033.76,4.27,2.91,-82.5,-0.469,19.2,20.93,01a58430o0617o
58430.496398,12.755,0.379,28713,10885,o,0,1.7,64.16321,40.04256,8980.73,6388.58,4.2,2.88,-84.9,-0.429,19.21,20.92,01a58430o0618o
58432.48147,14.466,0.646,5936,3836,c,0,2.45,64.16321,40.04256,181.33,6910.8,2.37,2.22,19.9,-0.401,19.54,21.2,02a58432o0635c
58432.491864,-18.073,0.308,-214,66,c,0,2.09,64.16321,40.04256,9630.93,6961.8,2.4,2.3,84.5,-0.459,19.5,21.16,02a58432o0657c
58432.492793,15.21,2.192,2993,6560,c,0,0.0,64.16321,40.04256,164.21,6873.83,2.42,2.21,20.7,-0.408,19.73,21.42,02a58432o0659c
58432.49375,-14.158,0.258,-7885,2034,c,0,4.46,64.16321,40.04256,223.53,6949.33,2.39,2.2,18.5,-0.406,19.7,21.39,02a58432o0661c
58432.497885,-15.252,0.79,-2878,2274,c,0,1.94,64.16321,40.04256,237.79,6830.39,2.37,2.16,-4.8,-0.376,19.55,21.21,02a58432o0670c
58432.498342,-18.375,0.058,-162,9,c,0,1371.76,64.16321,40.04256,9614.84,6922.38,2.48,2.35,73.8,-0.454,19.58,21.25,02a58432o0671c
58432.512457,-16.667,1.018,-782,796,c,0,1.11,64.16321,40.04256,9672.34,7006.56,2.43,2.33,68.4,-0.452,19.74,21.38,02a58432o0701c
58432.517924,-16.405,0.775,-996,772,c,0,1.62,64.16321,40.04256,9683.6,6890.96,2.55,2.45,48.0,-0.423,19.68,21.4,02a58432o0712c
