MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135001068190,19.202,0.192, 2.87018,35.97302,56926.41009,0
1135001068190,18.263,0.157, 2.86998,35.97286,56926.42236,0
1135001068190,18.642,0.146, 2.86999,35.97297,56955.27644,0
1135001068190,18.526,0.139, 2.87007,35.97306,56955.28411,0
1135001068190,18.599,0.143, 2.87023,35.97314,56955.29169,0
1135001068190,18.396,0.132, 2.87004,35.97302,56955.29924,0
1135001068190,18.613,0.142, 2.87010,35.97310,56981.22177,0
1135001068190,18.589,0.141, 2.87005,35.97314,56981.22896,0
1135001068190,18.644,0.145, 2.86996,35.97319,56981.23615,0
1135001068190,18.447,0.133, 2.87022,35.97309,56981.24333,0
1135001068190,18.354,0.130, 2.86998,35.97292,57006.11598,0
1135001068190,18.180,0.123, 2.87027,35.97289,57006.11902,0
1135001068190,18.356,0.138, 2.87012,35.97310,57006.12205,0
1135001068190,18.432,0.141, 2.87026,35.97310,57006.12506,0
1135001068190,18.486,0.141, 2.86999,35.97298,57290.17596,0
1135001068190,18.403,0.136, 2.86980,35.97313,57290.18096,0
1135001068190,18.357,0.133, 2.87019,35.97283,57290.18596,0
1135001068190,18.771,0.159, 2.87015,35.97300,57290.19097,0
1135001068190,18.817,0.162, 2.87017,35.97291,57296.38984,0
1135001068190,18.546,0.144, 2.87024,35.97310,57296.39386,0
1135001068190,18.575,0.146, 2.86970,35.97305,57296.39789,0
1135001068190,18.522,0.143, 2.87003,35.97304,57296.40192,0
1135001068190,18.547,0.151, 2.87022,35.97293,57306.13507,0
1135001068190,18.531,0.151, 2.87009,35.97302,57306.14018,0
1135001068190,18.419,0.146, 2.86992,35.97297,57306.14529,0
1135001068190,18.368,0.145, 2.86991,35.97302,57306.15038,0
1135001068190,18.594,0.145, 2.87009,35.97305,57333.16914,0
1135001068190,18.493,0.139, 2.87007,35.97312,57333.17369,0
1135001068190,18.472,0.138, 2.86985,35.97311,57333.17824,0
1135001068190,18.489,0.139, 2.87002,35.97302,57333.18282,0
1135001068190,18.521,0.141, 2.87006,35.97308,57339.16886,0
1135001068190,18.713,0.153, 2.87018,35.97305,57339.17304,0
1135001068190,18.482,0.138, 2.86997,35.97318,57339.17728,0
1135001068190,18.494,0.139, 2.87009,35.97307,57339.18156,0
1135001068190,18.573,0.142, 2.86995,35.97298,57356.14239,0
1135001068190,18.246,0.125, 2.87016,35.97318,57356.14863,0
1135001068190,18.498,0.138, 2.87015,35.97306,57356.15474,0
1135001068190,18.456,0.136, 2.86999,35.97292,57356.16082,0
1135001068190,18.993,0.209, 2.86990,35.97320,57363.08571,0
1135001068190,18.700,0.175, 2.87014,35.97319,57363.08771,0
1135001068190,18.660,0.171, 2.86978,35.97313,57363.08972,0
1135001068190,18.473,0.159, 2.87005,35.97305,57363.09173,0
1135001068190,18.422,0.142, 2.86994,35.97313,57365.23833,0
1135001068190,18.273,0.134, 2.87021,35.97303,57365.24236,0
1135001068190,18.401,0.139, 2.86994,35.97317,57365.24639,0
1135001068190,18.351,0.138, 2.86990,35.97293,57365.25041,0
1135001068190,18.624,0.148, 2.86998,35.97300,57390.12927,0
1135001068190,19.430,0.216, 2.86994,35.97267,57390.13377,0
1135001068190,19.353,0.208, 2.87037,35.97313,57390.13827,0
1135001068190,19.097,0.184, 2.87036,35.97317,57390.14277,0
