MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58778.42191,21.173,0.808,12,10,o,0,1.46,2.87006,35.973,1936.69,7021.23,2.46,1.94,86.9,-0.423,19.64,20.86,01a58778o0429o
58780.370788,21.556,0.962,9,8,c,0,0.85,2.87006,35.973,8631.96,1696.6,2.46,2.14,-56.5,-0.418,19.81,21.69,02a58780o0401c
58780.374009,21.316,0.698,11,8,c,0,1.5,2.87006,35.973,8613.32,1657.36,2.47,2.16,-57.6,-0.416,19.79,21.68,02a58780o0408c
58780.379549,22.615,2.276,3,7,c,0,1.13,2.87006,35.973,8669.03,1736.21,2.48,2.16,-59.7,-0.415,19.78,21.68,02a58780o0420c
58780.390264,22.584,2.233,3,8,c,0,1.75,2.87006,35.973,8687.67,1619.24,2.47,2.14,-58.9,-0.418,19.8,21.72,02a58780o0443c
58782.41133,21.022,1.443,14,20,o,0,1.01,2.87006,35.973,1996.03,6939.45,2.42,1.97,89.4,-0.41,18.73,19.85,01a58782o0151o
58782.415053,19.655,0.473,50,24,o,0,1.47,2.87006,35.973,2014.96,6977.39,2.41,1.94,87.0,-0.411,18.62,19.69,01a58782o0159o
58782.420334,-21.382,1.393,-10,14,o,0,1.03,2.87006,35.973,1956.57,6899.61,2.22,1.83,86.2,-0.426,19.26,20.4,01a58782o0170o
58782.430584,-21.96,4.174,-6,25,o,0,1.54,2.87006,35.973,1938.12,7015.23,2.2,1.88,-88.0,-0.426,18.39,19.46,01a58782o0192o
58784.38685,21.622,1.152,8,9,c,0,1.02,2.87006,35.973,8625.06,1698.32,2.53,2.33,-58.8,-0.404,19.74,21.56,02a58784o0334c
58784.390073,-23.995,8.375,-1,8,c,0,1.32,2.87006,35.973,8605.0,1658.83,2.42,2.24,-61.9,-0.409,19.73,21.56,02a58784o0341c
58784.39556,22.189,1.575,5,8,c,0,1.04,2.87006,35.973,8662.24,1737.86,2.51,2.31,-57.9,-0.404,19.74,21.53,02a58784o0353c
58784.406771,22.634,2.607,3,8,c,0,1.03,2.87006,35.973,8680.47,1620.0,2.44,2.22,-59.3,-0.41,19.79,21.52,02a58784o0377c
58785.339324,21.559,1.362,9,12,o,0,1.07,2.87006,35.973,9985.24,121.24,2.82,2.18,85.8,-0.379,19.5,20.83,01a58785o0193o
58785.343386,-22.205,2.209,-5,10,o,0,1.06,2.87006,35.973,10004.82,159.57,2.65,2.04,-84.2,-0.367,19.59,20.82,01a58785o0201o
58785.348541,-20.176,0.426,-31,13,o,0,1.1,2.87006,35.973,9947.43,82.31,2.5,1.99,-89.1,-0.404,19.67,20.81,01a58785o0211o
58785.366248,-22.838,4.467,-3,12,o,0,1.31,2.87006,35.973,9930.37,198.81,3.29,2.65,-82.5,-0.391,19.41,20.86,01a58785o0247o
58785.416701,-21.994,1.764,-6,10,o,0,1.33,2.87006,35.973,345.83,187.89,2.37,1.87,72.0,-0.458,19.62,20.92,01a58785o0350o
58785.419667,20.986,0.812,15,12,o,0,1.05,2.87006,35.973,366.72,227.06,2.38,1.9,68.0,-0.462,19.63,20.94,01a58785o0356o
58785.426004,-22.051,2.031,-6,11,o,0,0.85,2.87006,35.973,310.25,145.33,1.99,1.73,62.5,-0.498,19.75,20.97,01a58785o0368o
58785.43771,-21.722,1.235,-7,9,o,0,1.36,2.87006,35.973,297.03,262.31,2.11,1.85,61.9,-0.473,19.75,21.0,01a58785o0391o
58786.477538,21.081,0.888,13,12,o,0,0.89,2.87006,35.973,10096.66,10365.33,1.96,1.83,46.4,-0.455,19.58,20.58,01a58786o0008o
58786.480759,20.447,0.492,24,12,o,0,0.84,2.87006,35.973,10117.81,10404.48,1.96,1.85,73.6,-0.447,19.54,20.6,01a58786o0015o
58787.406042,-20.984,0.528,-15,8,c,0,1.67,2.87006,35.973,2370.5,8274.79,2.37,2.1,-44.8,-0.444,19.75,21.57,02a58787o0427c
