oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
475304200020726,194540402,2459699.9093822935,59699.4040278,19.4300423,0.120643787,0,zi,195.7071172,1.8216516,1.19200003,0.0149999997,20220430404028,475,4.0,2.0,20.4300003,25.4060421,0.0276428871,0.182846978,1.86390007e-05,30,1.648,2
475304200020726,196130363,2459715.808149468,59715.3036343,19.9315681,0.16271174,0,zi,195.7070144,1.8216414,0.374000013,-0.195999995,20220516303368,475,4.0,2.0,19.7700005,25.5225677,0.0410905629,0.18697685,4.14902352e-05,30,1.27199996,2
475304200020726,197119394,2459725.6977776536,59725.1939468,19.8083878,0.152369455,0,zi,195.7070081,1.8216415,1.28499997,-0.31099999,20220526193935,475,4.0,2.0,20.3899994,25.4893875,0.0300493632,0.189420775,2.19062022e-05,30,1.14100003,2
475304200020726,197726041,2459731.7637757855,59731.2604167,19.8063889,0.152199268,0,zi,195.707005,1.821613,0.430000007,-0.144999996,20220601260417,475,4.0,2.0,20.3700008,25.4983883,0.0276520308,0.197616369,1.86791349e-05,30,1.27400005,2
475304200020726,199824778,2459752.749294927,59752.2477894,19.477562,0.124480978,0,zi,195.707057,1.8216538,0.885999978,-0.108000003,20220622247789,475,4.0,2.0,20.1299992,25.3815613,0.0305422489,0.194094658,2.19134818e-05,30,1.53900003,2
475304200020726,200121511,2459755.716340241,59755.2151157,19.7012482,0.143222019,0,zi,195.7070368,1.8216841,0.726999998,0.202000007,20220625215116,475,4.0,2.0,20.4599991,25.5432491,0.0319401845,0.186965659,2.49515742e-05,30,1.36899996,2
475304200020726,200619245,2459760.6932012886,59760.1924537,20.0505238,0.172167674,0,zi,195.7070733,1.8216968,0.625999987,-0.129999995,20220630192454,475,4.0,2.0,20.4599991,25.4535236,0.0305481534,0.192823902,2.25851181e-05,30,1.32299995,2
475304200020726,200923353,2459763.733984036,59763.2335301,19.8703308,0.15761359,0,zi,195.7069076,1.8215018,0.474999994,-0.136999995,20220703233519,475,4.0,2.0,20.0799999,25.5013313,0.0320438445,0.187007263,2.45602405e-05,30,1.69400001,2
475304200020726,218354799,2459938.0470608445,59937.5479977,19.7038879,0.143447325,0,zi,195.7070889,1.8216794,0.709999979,-0.0810000002,20221224547998,475,4.0,2.0,20.4799995,25.5418873,0.0271620285,0.195002154,1.78294449e-05,30,1.25999999,2
475304200020726,221848277,2459972.985260918,59972.4827778,19.7932053,0.151076064,0,zi,195.7070531,1.8216196,0.419999987,-0.0460000001,20230128482766,475,4.0,2.0,20.6399994,25.5512047,0.0253543016,0.184818864,1.49497791e-05,30,1.17799997,2
475304200020726,223347546,2459987.9792209365,59987.475463,19.8368168,0.154784083,0,zi,195.707036,1.8216253,0.689999998,0.126000002,20230212475451,475,4.0,2.0,20.3999996,25.5418167,0.035691902,0.180445433,3.05360118e-05,30,1.14199996,2
475304200020726,224042138,2459994.9256589697,59994.4213889,19.6036034,0.134933874,0,zi,195.7070712,1.8215967,0.968999982,-0.0970000029,20230219421389,475,4.0,2.0,20.7700005,25.449604,0.026390072,0.187832609,1.59467872e-05,30,1.17999995,2
475304200020726,227539792,2460029.9037441346,60029.3979282,19.7613373,0.148355767,0,zi,195.7069935,1.8216974,0.333000004,-0.00800000038,20230326397662,475,4.0,2.0,20.2600002,25.5633373,0.0269363336,0.192565143,1.74526631e-05,30,1.15900004,2
475304200020726,228235694,2460036.8628332093,60036.3569444,19.7836456,0.150260687,0,zi,195.707048,1.8216652,0.563000023,-0.0350000001,20230402356944,475,4.0,2.0,20.3600006,25.5246449,0.0316051617,0.183474734,2.36381675e-05,30,1.14199996,2
475304200020726,229036983,2460044.8757095453,60044.369838,19.7676964,0.148899063,0,zi,195.7070469,1.8216787,0.726000011,-0.137999997,20230410369838,475,4.0,2.0,20.4099998,25.5306969,0.0303551573,0.188752517,2.13788553e-05,30,1.17999995,2
475304200020726,230134163,2460055.847306113,60055.3416319,19.7215385,0.144954816,0,zi,195.7070325,1.8217095,0.561999977,0.231000006,20230421341632,475,4.0,2.0,20.6700001,25.5205383,0.033129029,0.182267785,2.61002533e-05,30,1.18299997,2
475304200020726,230428673,2460058.7923238934,60058.2867361,19.9722157,0.166023344,0,zi,195.7070786,1.8216563,0.662,-0.138999999,20230424286736,475,4.0,2.0,20.5900002,25.4522152,0.0342106819,0.188389897,2.85886526e-05,30,1.13999999,2
475304200020726,230739153,2460061.8970211986,60061.3915394,19.8004513,0.151693672,0,zi,195.7069437,1.8216132,0.824999988,0.0199999996,20230427391539,475,4.0,2.0,20.3899994,25.4504509,0.0296017732,0.184486151,2.11904298e-05,30,1.46200001,2
475304200020726,232828803,2460082.792436581,60082.2880324,19.6884022,0.142126128,0,zi,195.7071,1.8215816,0.388000011,0.0410000011,20230518288021,475,4.0,2.0,20.5499992,25.4254017,0.031634979,0.185634479,2.40139743e-05,30,1.23500001,2
475304200020726,233417815,2460088.682157494,60088.1781597,19.5973759,0.134409666,0,zi,195.7070472,1.8216166,0.486000001,-0.0489999987,20230524178148,475,4.0,2.0,20.7999992,25.5113754,0.0265156254,0.187967598,1.71256888e-05,30,1.15900004,2
475304200020726,235120509,2460105.7077199486,60105.2050926,19.6170349,0.13606666,0,zi,195.7070643,1.8215856,0.776000023,-0.0130000003,20230610205069,475,4.0,2.0,20.6299992,25.4820347,0.0323157907,0.183230504,2.48452252e-05,30,1.18299997,2
475304200020726,235619304,2460110.69522642,60110.193044,20.0257339,0.170262098,0,zi,195.7070421,1.8215899,1.23500001,-0.472000003,20230615193032,475,4.0,2.0,20.4899998,25.478735,0.0278358832,0.192561343,1.8039922e-05,30,1.18700004,2
475304200020726,236323415,2460117.7356859064,60117.2341551,19.4811745,0.124775343,0,zi,195.707041,1.8216261,1.01699996,-0.147,20230622234155,475,4.0,2.0,20.6900005,25.5051746,0.0304789171,0.190463364,2.21070968e-05,30,1.43099999,2
475304200020726,238319252,2460137.692136183,60137.1925231,19.7828217,0.150190413,0,zi,195.7071226,1.8215871,1.14199996,0.0599999987,20230712192523,475,4.0,2.0,20.5200005,25.4518223,0.0316120721,0.185107976,2.44712337e-05,30,1.528,2
475304200020726,238621599,2460140.71531795,60140.2159954,19.7038689,0.143445671,0,zi,195.707032,1.8216617,0.531000018,-0.116999999,20230715215995,475,4.0,2.0,19.9899998,25.4458694,0.0325833075,0.192592829,2.47826702e-05,30,1.88399994,2
