MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,phase,uJy_clip,duJy_plot,uplim
57566.292378,-19.629,0.45,-51,23,o,0,1.27,195.70711,1.82167,2146.67,3953.6,4.18,3.64,-45.0,-0.495,19.1,20.78,02a57566o0122o,0.953325338874744,-51.0,23.0,False
57566.305449,-20.31,0.833,-27,23,o,0,1.32,195.70711,1.82167,2166.38,3836.49,4.23,3.56,-34.1,-0.48,19.11,20.79,02a57566o0146o,0.15427543574801272,-27.0,23.0,False
57570.283229,20.646,4.636,20,93,o,0,0.91,195.70711,1.82167,1086.31,3655.51,4.51,3.66,-41.3,-0.48,17.62,19.13,02a57570o0097o,0.3076130737438199,20.0,30.0,True
57570.29742,21.785,7.0,7,49,o,0,0.91,195.70711,1.82167,1144.96,3732.58,4.5,3.64,-37.8,-0.484,18.33,19.9,02a57570o0125o,0.5257817544010299,7.0,30.0,True
57591.242605,19.574,5.339,54,287,o,0,0.97,195.70711,1.82167,10468.62,5266.42,4.43,2.97,80.8,-0.52,17.19,16.94,02a57591o0031o,0.5315161576979635,54.0,30.0,True
57591.247139,-19.999,2.877,-36,105,o,0,1.0,195.70711,1.82167,10452.4,5227.09,4.37,2.85,83.0,-0.54,17.82,18.17,02a57591o0040o,0.6012206744967529,-36.0,30.0,True
57591.251596,20.717,2.55,19,48,o,0,1.23,195.70711,1.82167,785.58,5279.71,4.13,3.46,-51.6,-0.474,18.27,19.14,02a57591o0048o,0.6697414137079364,19.0,30.0,True
57591.255051,19.587,1.127,53,60,o,0,1.08,195.70711,1.82167,10512.7,5304.81,4.47,2.93,83.6,-0.5,18.68,19.88,02a57591o0054o,0.7228576698683745,53.0,30.0,True
57591.262334,-19.781,0.57,-44,25,o,0,0.99,195.70711,1.82167,806.87,5162.58,4.18,3.46,-48.6,-0.473,18.89,20.31,02a57591o0066o,0.8348245855742792,-44.0,25.0,False
57736.654199,-20.745,3.196,-18,58,o,0,1.12,195.70711,1.82167,9692.9,8040.95,3.78,3.15,-88.6,-0.462,18.48,19.24,02a57736o0868o,0.05090243813652844,-18.0,30.0,True
57764.651912,20.863,1.702,16,28,o,0,1.04,195.70711,1.82167,822.59,5193.56,3.73,3.35,61.1,-0.446,18.81,19.85,02a57764o0861o,0.48033699221046616,16.0,28.0,False
57764.668688,-20.459,1.197,-24,28,o,0,1.41,195.70711,1.82167,878.32,5273.67,3.65,3.33,65.6,-0.455,18.82,19.87,02a57764o0890o,0.7382467790805726,-24.0,28.0,False
57768.644534,22.059,6.133,6,33,o,0,0.97,195.70711,1.82167,1704.28,3311.78,3.81,3.59,71.8,-0.425,18.65,19.6,02a57768o0852o,0.8618516126012089,6.0,30.0,True
57768.666917,21.288,2.871,11,32,o,0,1.28,195.70711,1.82167,1685.26,3274.45,3.74,3.51,70.6,-0.439,18.68,19.58,02a57768o0893o,0.20596193457602585,11.0,30.0,True
57768.68325,-19.531,3.109,-56,174,o,0,1.03,195.70711,1.82167,1744.15,3355.67,3.8,3.68,66.5,-0.469,17.26,16.91,02a57768o0921o,0.45706115665850156,-56.0,30.0,True
57788.63539,-21.956,3.0,-6,18,o,0,1.02,195.70711,1.82167,8980.07,5531.63,3.68,3.07,87.9,-0.452,19.5,21.17,02a57788o0812o,0.19598438024233925,-6.0,18.0,False
57788.649764,22.076,3.353,5,18,o,0,0.97,195.70711,1.82167,8962.27,5497.14,3.67,3.08,88.7,-0.448,19.47,21.14,02a57788o0836o,0.41696645444363234,5.0,18.0,False
57792.6188,-20.479,0.953,-23,22,o,0,1.29,195.70711,1.82167,1732.86,2255.09,3.75,3.6,-83.5,-0.428,19.04,20.33,02a57792o0041o,0.4358761490437218,-23.0,22.0,False
57792.637514,-20.761,1.204,-18,22,o,0,0.94,195.70711,1.82167,1713.26,2217.89,3.76,3.63,-74.1,-0.429,19.27,20.82,02a57792o0070o,0.723580235463717,-18.0,22.0,False
57792.654946,22.247,4.583,5,21,o,0,1.15,195.70711,1.82167,1775.09,2296.77,3.8,3.69,-45.9,-0.424,19.19,20.69,02a57792o0098o,0.9915751928869816,5.0,21.0,False
57792.672854,20.27,2.492,28,71,o,0,1.02,195.70711,1.82167,1798.57,2180.07,4.06,3.73,-9.1,-0.411,17.91,18.47,02a57792o0127o,0.2668880483177485,28.0,30.0,True
57800.619674,21.52,3.893,9,35,o,0,0.85,195.70711,1.82167,8817.73,5053.48,3.66,3.16,88.8,-0.452,18.64,19.54,02a57800o0604o,0.43919687598836304,9.0,30.0,True
57800.651576,20.845,2.184,17,36,o,0,0.87,195.70711,1.82167,8859.96,5091.05,3.72,3.37,88.0,-0.436,18.58,19.51,02a57800o0667o,0.9296497861622496,17.0,30.0,True
57800.668752,20.069,1.648,34,56,o,0,1.03,195.70711,1.82167,8882.06,4973.97,3.64,3.11,88.9,-0.449,18.14,18.54,02a57800o0700o,0.1937090673048257,34.0,30.0,True
57804.658391,-23.759,39.0,-1,44,o,0,1.2,195.70711,1.82167,1166.4,4876.7,4.58,4.2,-87.0,-0.513,18.35,19.74,01a57804o0744o,0.529363834691632,-1.0,30.0,True
57806.633029,19.848,0.947,42,40,o,0,1.06,195.70711,1.82167,9654.34,6343.53,4.03,3.38,-85.7,-0.596,18.74,20.56,01a57806o0815o,0.8869261751842978,42.0,30.0,True
57808.630253,-20.165,1.22,-31,38,o,0,0.91,195.70711,1.82167,8576.96,5795.04,4.06,3.56,-82.0,-0.613,18.82,20.74,01a57808o0711o,0.59171970601016,-31.0,30.0,True
57808.658132,21.24,8.75,12,101,o,0,1.01,195.70711,1.82167,8539.06,5758.31,4.3,3.83,-81.0,-0.608,17.6,19.04,01a57808o0765o,0.020324078205919152,12.0,30.0,True
57810.662179,-20.281,7.0,-28,196,o,0,0.96,195.70711,1.82167,8761.51,7578.88,3.8,3.49,85.9,-0.8,16.97,18.25,01a57810o0863o,0.8300126063579034,-28.0,30.0,True
57816.621589,21.163,2.0,12,25,o,0,1.14,195.70711,1.82167,1819.92,7302.13,3.99,3.67,80.0,-0.47,19.26,21.31,01a57816o0795o,0.44840574357029156,12.0,25.0,False
57816.63561,20.631,1.357,20,28,o,0,0.89,195.70711,1.82167,1838.5,7341.08,4.07,3.77,80.5,-0.464,19.19,21.19,01a57816o0823o,0.6639608890889939,20.0,28.0,False
57816.649675,22.27,5.667,4,25,o,0,1.23,195.70711,1.82167,1778.61,7263.32,4.13,3.82,75.8,-0.458,19.02,20.88,01a57816o0851o,0.8801924790872893,4.0,25.0,False
57818.627344,-20.475,1.538,-23,36,o,0,0.97,195.70711,1.82167,1811.12,6624.76,4.71,4.26,26.3,-0.369,19.09,21.26,01a57818o0812o,0.2843526119144854,-23.0,30.0,True
57818.641436,-19.755,0.909,-46,41,o,0,1.07,195.70711,1.82167,1751.96,6546.53,4.8,4.21,24.6,-0.37,19.02,21.16,01a57818o0840o,0.5009992926883635,-46.0,30.0,True
57820.574092,23.422,23.5,2,36,o,0,1.07,195.70711,1.82167,9490.01,6865.39,3.47,3.3,-4.2,-0.465,18.55,20.4,01a57820o0729o,0.21314146906352913,2.0,30.0,True
57820.588749,-21.903,8.0,-6,50,o,0,1.21,195.70711,1.82167,9510.56,6904.32,3.43,3.34,-21.4,-0.47,18.19,20.17,01a57820o0758o,0.438474310432952,-6.0,30.0,True
57820.602301,-19.632,0.648,-51,33,o,0,1.04,195.70711,1.82167,9450.76,6828.65,3.5,3.28,-16.2,-0.467,18.52,20.5,01a57820o0785o,0.646819174017297,-51.0,30.0,True
57820.616302,-21.768,4.75,-7,34,o,0,1.25,195.70711,1.82167,9431.28,6946.05,3.34,3.2,-27.2,-0.478,18.53,20.5,01a57820o0813o,0.8620668449454203,-7.0,30.0,True
57828.552739,-19.441,0.919,-61,56,o,0,1.38,195.70711,1.82167,9703.37,5505.47,3.86,3.11,86.0,-0.467,17.94,18.59,02a57828o0630o,0.8747501766899951,-61.0,30.0,True
57828.57052,-19.826,1.593,-43,68,o,0,0.99,195.70711,1.82167,9685.84,5466.22,3.93,3.21,87.8,-0.466,17.91,18.6,02a57828o0662o,0.14811056783299126,-43.0,30.0,True
57828.580863,20.853,5.222,16,86,o,0,0.95,195.70711,1.82167,1704.7,7364.5,4.5,4.25,40.2,-0.504,18.14,19.22,01a57828o0723o,0.3071211142422971,16.0,30.0,True
57828.588015,23.762,50.0,1,57,o,0,1.74,195.70711,1.82167,9750.42,5544.66,3.85,3.06,87.6,-0.46,17.92,18.57,02a57828o0697o,0.41707407058571316,1.0,30.0,True
57828.594527,21.932,14.5,6,89,o,0,1.06,195.70711,1.82167,1722.46,7404.82,4.77,4.43,29.1,-0.467,18.05,19.14,01a57828o0750o,0.517187836227408,6.0,30.0,True
57828.595192,-19.938,1.777,-38,68,o,0,1.2,195.70711,1.82167,9769.9,5427.23,3.96,3.29,86.5,-0.46,17.88,18.57,02a57828o0712o,0.5274113703351408,-38.0,30.0,True
57828.61343,19.713,1.389,47,66,o,0,1.55,195.70711,1.82167,9735.13,5483.07,3.8,3.05,87.2,-0.48,17.9,18.51,02a57828o0748o,0.8077975585239165,47.0,30.0,True
57828.621626,20.853,5.75,17,95,o,0,1.17,195.70711,1.82167,1645.46,7443.03,4.85,4.53,45.0,-0.49,17.97,19.04,01a57828o0804o,0.9338006948043827,17.0,30.0,True
57830.55804,-19.528,0.531,-56,30,o,0,1.16,195.70711,1.82167,10176.54,5556.56,3.64,3.35,52.9,-0.463,18.74,20.21,01a57830o0670o,0.7037173692105538,-56.0,30.0,False
57830.572121,-22.164,5.556,-5,28,o,0,1.56,195.70711,1.82167,10196.95,5595.45,3.48,3.31,54.0,-0.469,18.72,20.16,01a57830o0698o,0.920194938836569,-5.0,28.0,False
57830.574594,19.974,1.217,37,45,o,0,0.96,195.70711,1.82167,454.9,5695.31,4.31,3.77,67.7,-0.406,18.73,20.18,01a57830o0703o,0.9582141867605583,37.0,30.0,True
57830.585759,-19.755,0.651,-46,30,o,0,1.08,195.70711,1.82167,10136.75,5519.85,3.41,3.34,56.0,-0.475,18.69,20.13,01a57830o0725o,0.1298619437868121,-46.0,30.0,False
57830.599732,20.327,1.378,27,37,o,0,0.99,195.70711,1.82167,10118.58,5637.34,3.57,3.51,73.5,-0.465,18.59,20.06,01a57830o0753o,0.3446791500867793,27.0,30.0,True
57830.602688,21.474,5.3,9,50,o,0,0.98,195.70711,1.82167,416.98,5655.32,4.78,3.99,73.2,-0.422,18.65,20.09,01a57830o0759o,0.39012391220327447,9.0,30.0,True
57830.616179,-23.793,50.0,-1,55,o,0,1.0,195.70711,1.82167,397.67,5771.02,5.23,4.46,74.4,-0.404,18.49,20.01,01a57830o0786o,0.5975309779395918,-1.0,30.0,True
57832.529454,23.828,19.0,1,20,o,0,1.09,195.70711,1.82167,2633.25,5471.11,3.45,3.35,61.4,-0.47,18.59,19.83,02a57832o0590o,0.011714786417458378,1.0,20.0,False
57832.540997,-20.342,0.943,-26,25,o,0,0.97,195.70711,1.82167,9066.76,7201.79,3.3,3.22,64.2,-0.481,18.95,20.63,01a57832o0645o,0.18917381530859745,-26.0,25.0,False
57832.546453,-21.352,2.074,-10,22,o,0,1.12,195.70711,1.82167,2617.23,5433.32,3.66,3.47,19.4,-0.456,18.54,19.84,02a57832o0620o,0.2730529163483817,-10.0,22.0,False
57832.5549,-19.578,0.448,-54,24,o,0,1.31,195.70711,1.82167,9087.66,7240.87,3.46,3.41,48.2,-0.47,18.89,20.62,01a57832o0673o,0.4029148602059623,-54.0,24.0,False
57832.56764,21.596,2.5,8,21,o,0,1.28,195.70711,1.82167,2676.64,5509.19,3.67,3.39,8.6,-0.462,18.51,19.77,02a57832o0660o,0.5987762505805074,8.0,21.0,False
57832.56935,-20.52,1.152,-22,26,o,0,0.96,195.70711,1.82167,9028.77,7165.03,3.22,3.18,62.9,-0.489,18.95,20.62,01a57832o0702o,0.6250653382541466,-22.0,26.0,False
57832.575387,-20.487,1.017,-23,24,o,0,0.79,195.70711,1.82167,2694.43,5391.01,3.63,3.46,64.4,-0.46,18.5,19.75,02a57832o0676o,0.7178765795171953,-23.0,24.0,False
57832.583753,-21.588,3.4,-8,29,o,0,0.94,195.70711,1.82167,9009.3,7283.16,3.46,3.43,72.3,-0.468,18.82,20.53,01a57832o0731o,0.8464932508243106,-8.0,29.0,False
57832.595408,23.051,11.2,2,24,o,0,0.87,195.70711,1.82167,2661.63,5447.92,3.87,3.73,36.3,-0.427,18.39,19.66,02a57832o0715o,0.025674138228074222,2.0,24.0,False
57833.542539,21.116,2.037,13,26,o,0,0.9,195.70711,1.82167,8329.46,4713.57,3.23,3.18,-15.2,-0.484,19.01,20.7,01a57833o0649o,0.5866156258031558,13.0,26.0,False
57833.557151,-21.559,2.941,-9,25,o,0,0.98,195.70711,1.82167,8349.88,4752.49,3.32,3.24,-29.7,-0.477,18.96,20.67,01a57833o0678o,0.8112566490641294,-9.0,25.0,False
57833.571552,-19.698,0.584,-48,28,o,0,0.91,195.70711,1.82167,8290.67,4677.24,3.44,3.33,-36.9,-0.474,18.9,20.63,01a57833o0707o,0.03265381415286377,-48.0,28.0,False
57833.585964,-21.413,2.5,-10,25,o,0,1.12,195.70711,1.82167,8270.76,4794.63,3.29,3.18,-30.5,-0.481,18.9,20.56,01a57833o0736o,0.25422009027760245,-10.0,25.0,False
57834.540391,-21.456,2.632,-10,25,o,0,0.93,195.70711,1.82167,8689.84,5480.9,3.29,3.26,6.6,-0.481,19.07,20.87,01a57834o0496o,0.9273283521878813,-10.0,25.0,False
57834.55551,20.323,0.868,27,23,o,0,1.15,195.70711,1.82167,8711.84,5519.89,3.31,3.24,-36.9,-0.487,19.04,20.83,01a57834o0526o,0.15976385930665776,27.0,23.0,False
57834.570097,-21.25,1.95,-12,22,o,0,1.41,195.70711,1.82167,8653.15,5445.34,3.53,3.45,-24.5,-0.479,18.97,20.82,01a57834o0555o,0.3840205392734783,-12.0,22.0,False
57834.584772,-21.006,1.913,-14,28,o,0,1.0,195.70711,1.82167,8632.14,5564.55,3.7,3.65,-40.8,-0.455,18.89,20.79,01a57834o0584o,0.6096301078639091,-14.0,28.0,False
57837.529919,19.784,0.519,44,23,o,0,1.05,195.70711,1.82167,7844.9,6133.58,3.54,3.27,-32.1,-0.475,19.05,21.01,01a57837o0460o,0.8875411246603565,44.0,23.0,False
57837.559302,-20.835,1.467,-17,25,o,0,1.01,195.70711,1.82167,7807.19,6096.37,3.6,3.29,-36.8,-0.473,18.97,20.9,01a57837o0516o,0.3392675951729484,-17.0,25.0,False
57837.574071,-19.489,0.392,-58,23,o,0,1.12,195.70711,1.82167,7787.5,6214.91,3.71,3.42,-37.4,-0.47,18.93,20.89,01a57837o0544o,0.5663222949431371,-58.0,23.0,False
57838.524828,22.649,7.4,3,23,o,0,1.07,195.70711,1.82167,10413.02,5671.38,3.73,3.66,-68.4,-0.449,19.1,21.12,01a57838o0521o,0.18300894744602084,3.0,23.0,False
57838.53951,-21.898,3.889,-6,25,o,0,1.06,195.70711,1.82167,10433.98,5710.27,3.97,3.86,-57.2,-0.431,19.04,21.12,01a57838o0549o,0.4087261322214554,-6.0,25.0,False
57838.54368,-22.688,10.0,-3,30,o,0,1.21,195.70711,1.82167,691.5,5810.85,5.07,4.39,77.4,-0.453,19.12,21.16,01a57838o0557o,0.4728346093016498,-3.0,30.0,False
57838.554062,20.761,1.379,18,25,o,0,0.78,195.70711,1.82167,10374.14,5634.8,3.7,3.6,-39.2,-0.45,19.08,21.09,01a57838o0577o,0.632444731375116,18.0,25.0,False
57838.558291,0.0,20.042,0,35,o,0,0.96,195.70711,1.82167,710.74,5849.94,4.93,4.34,75.2,-0.45,19.13,21.15,01a57838o0585o,0.6974602588219085,0.0,30.0,True
57838.568737,20.478,1.079,23,25,o,0,0.8,195.70711,1.82167,10353.78,5753.74,3.66,3.53,-50.9,-0.459,19.07,21.06,01a57838o0605o,0.8580542999655469,23.0,25.0,False
57838.572917,-19.787,0.744,-44,33,o,0,0.9,195.70711,1.82167,651.44,5772.27,5.06,4.39,75.0,-0.442,19.1,21.09,01a57838o0613o,0.9223165143410308,-44.0,30.0,True
57838.587669,21.697,5.429,8,41,o,0,0.92,195.70711,1.82167,633.58,5886.75,5.14,4.49,71.4,-0.425,19.01,20.97,01a57838o0641o,0.14910986063092635,8.0,30.0,True
57842.514678,20.69,1.258,19,24,o,0,1.27,195.70711,1.82167,8992.08,8234.59,3.78,3.46,-16.6,-0.47,19.0,20.91,01a57842o0577o,0.5219075730050662,19.0,24.0,False
57842.529482,20.535,1.091,22,24,o,0,1.47,195.70711,1.82167,9012.17,8273.5,3.94,3.62,-10.9,-0.454,18.95,20.88,01a57842o0605o,0.7495003534765561,22.0,24.0,False
57842.544182,20.834,1.577,17,26,o,0,1.04,195.70711,1.82167,8952.77,8196.77,3.89,3.49,-16.4,-0.468,18.93,20.81,01a57842o0633o,0.9754942654729987,17.0,26.0,False
