MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58691.40006,23.437,6.182,2,10,c,0,1.02,282.18089,33.08094,2637.31,4707.09,2.67,2.54,-47.3,-0.402,19.72,22.06,02a58691o0251c
58691.413441,-22.848,3.25,-3,9,c,0,1.09,282.18089,33.08094,2610.63,4667.99,2.66,2.42,38.9,-0.396,19.79,22.05,02a58691o0279c
58691.42257,24.34,14.0,1,9,c,0,0.82,282.18089,33.08094,2665.12,4745.0,2.74,2.4,39.9,-0.389,19.74,22.03,02a58691o0298c
58691.426078,21.15,0.648,13,8,c,0,1.17,282.18089,33.08094,2684.09,4628.38,2.65,2.54,-58.2,-0.402,19.76,22.01,02a58691o0305c
58693.395407,21.318,1.261,11,14,o,0,0.94,282.18089,33.08094,3616.29,2112.94,3.57,3.05,-12.0,-0.427,19.38,21.43,01a58693o0270o
58693.398313,20.107,0.357,33,12,o,0,1.09,282.18089,33.08094,3637.73,2151.56,3.43,3.06,1.7,-0.434,19.35,21.42,01a58693o0276o
58693.40399,20.99,0.897,15,13,o,0,0.96,282.18089,33.08094,3580.18,2072.68,3.37,2.96,-4.4,-0.43,19.4,21.41,01a58693o0288o
58693.418028,-20.33,0.476,-27,13,o,0,0.85,282.18089,33.08094,3564.46,2189.27,3.34,3.02,-12.7,-0.423,19.37,21.44,01a58693o0316o
58699.246915,-22.19,3.371,-5,16,c,0,0.68,282.18089,33.08094,7849.35,3921.6,2.65,2.45,-70.6,-0.377,19.07,20.39,02a58699o0038c
58699.252164,-23.707,13.333,-1,16,c,0,1.12,282.18089,33.08094,7868.86,3960.07,2.59,2.4,-66.9,-0.387,19.11,20.65,02a58699o0047c
58699.255515,21.671,1.519,8,12,c,0,0.9,282.18089,33.08094,7812.0,3883.99,2.55,2.31,-64.1,-0.388,19.3,21.0,02a58699o0054c
58699.2674,23.358,5.538,2,9,c,0,0.83,282.18089,33.08094,7790.39,4001.56,2.6,2.34,-66.7,-0.393,19.69,21.61,02a58699o0077c
58701.417943,22.892,4.909,2,12,o,0,1.0,282.18089,33.08094,1710.04,2206.61,3.55,3.1,-14.9,-0.395,19.42,21.65,01a58701o0006o
58701.421344,-23.451,8.571,-2,13,o,0,1.03,282.18089,33.08094,1731.15,2246.33,3.42,2.98,-17.6,-0.406,19.42,21.6,01a58701o0013o
58701.429126,-21.837,2.031,-7,14,o,0,0.73,282.18089,33.08094,1673.6,2166.05,3.31,2.95,-14.7,-0.415,19.47,21.64,01a58701o0029o
58701.439087,-20.577,0.529,-21,11,o,0,1.39,282.18089,33.08094,1658.81,2281.56,3.3,2.94,-13.5,-0.422,19.42,21.55,01a58701o0050o
