objID,detectID,filterID,obsTime,ra,dec,psfFlux,psfFluxErr,psfQfPerfect,infoFlag,filter,mag,magerr
147692821808927724,234359092030001650,2,56444.5911628,282.18089602,33.08093843,0.0001049130005412,1.6678200154274236e-06,0.6972730159759521,102760517,r,18.847926729624117,0.017259559648553375
147692821808927724,234360032150001574,2,56444.6005583,282.18089208,33.08093225,0.0001068350029527,1.5401800510517203e-06,0.9971590042114258,102760517,r,18.82821608412435,0.015651925260555182
147692821808927724,234057342020002043,3,56441.5736911,282.18088458,33.08094469,8.796629845164716e-05,2.7012499685952207e-06,0.9985299706459044,102760453,i,19.03920920598432,0.03333943956407223
147692821808927724,234058385020001861,3,56441.5841251,282.18089313,33.08092869,8.242279727710411e-05,2.618229927975335e-06,0.9988809823989868,102760453,i,19.109881626027132,0.03448817956573356
147692821808927724,235854980210000936,1,56459.5500591,282.18088454,33.08093234,0.0001347530051134,1.814679990275181e-06,0.999705970287323,102760517,g,18.57615385218767,0.014620809857143922
147692821808927724,235856057210000905,1,56459.5608317,282.18088649,33.08093743,0.0001383579947287,1.796540004761482e-06,0.9991440176963806,102760517,g,18.54748935248857,0.01409751194352156
147692821808927724,235857116210001466,2,56459.5714095,282.18087747,33.08093752,0.0001040049974108,1.529699943603191e-06,0.9980700016021729,102760453,r,18.85736448118115,0.015968417577187744
147692821808927724,235858111210001391,2,56459.5813496,282.18087275,33.08093257,0.0001109639997594,1.869060042736237e-06,0.998313009738922,102760517,r,18.78704474316315,0.018287358898369483
147692821808927724,236453787210002197,3,56465.5381396,282.18088598,33.08093873,8.378369966521859e-05,1.982790081456187e-06,0.997793972492218,102760453,i,19.09210116565692,0.025693723242572998
147692821808927724,236454918210002178,3,56465.5494616,282.18088109,33.08093315,8.295050065498799e-05,2.280859916936606e-06,0.9967259764671326,102760453,i,19.102952471023627,0.029853100249723045
147692821808927724,245326446410002952,4,56554.2648189,282.18089734,33.08095019,6.06737012276426e-05,2.887599976020283e-06,0.9983749985694884,35651585,z,19.44249877835142,0.05167094194901204
147692821808927724,245328813210002901,5,56554.2886011,282.18087886,33.08092617,6.492329703178257e-05,5.256270014797337e-06,0.9990820288658142,35651585,y,19.368998583237776,0.08789960793691352
147692821808927724,263563421050002894,4,56736.6345709,282.18073759,33.08110568,6.908579962328076e-05,2.3293500817089807e-06,0.9970470070838928,102760453,z,19.30152802841782,0.03660629821905134
147692821808927724,263565553050003181,5,56736.6560062,282.18078486,33.08112286,4.320239895605482e-05,6.092030162108131e-06,0.802541971206665,35651585,y,19.811230342195923,0.15309606195083358
147692821808927724,269546822260002362,3,56796.4684934,282.18088971,33.08094185,8.602360321674496e-05,1.7250699784199242e-06,0.99789297580719,102760453,i,19.06345592595052,0.021772030065417444
147692821808927724,269548155260002146,3,56796.4818163,282.18088914,33.08095089,8.444659761153162e-05,1.7396499742972082e-06,0.909168004989624,102760517,i,19.083544609113545,0.02236606364868586
147692821808927724,269550817260002416,3,56796.5084431,282.18089212,33.08094615,8.46010007080622e-05,1.638670028114575e-06,0.995813012123108,102760453,i,19.081561249630013,0.02102934994425487
